ID;Art;From;To;Length;Source;Target;ToblerSum;Weight
522777;land;NULL;NULL;5115;6687;5121;307.5046508;32.51983336
522779;land;NULL;NULL;4487;5121;2063;277.0510576;36.09442998
522781;land;NULL;NULL;6607;2757;2063;400.65637;24.95904408
522783;land;NULL;NULL;3939;3473;1407;235.7581827;42.41634324
522785;land;NULL;NULL;11900;1407;317;725.0592256;13.79197677
522787;land;NULL;NULL;4148;2623;10991;243.0450827;41.14462999
522789;land;NULL;NULL;8442;10991;5538;512.3751488;19.51694969
522791;land;NULL;NULL;6177;5538;8619;377.6178289;26.48180047
522793;land;NULL;NULL;2890;8619;7802;175.8681703;56.86077239
522795;land;NULL;NULL;7587;7802;3778;464.1702481;21.54381941
522797;land;NULL;NULL;4232;3778;4955;285.6033717;35.01359224
522799;land;NULL;NULL;8948;10991;7435;535.8540093;18.66179935
522801;land;NULL;NULL;11926;4955;3809;722.9182996;13.83282178
522803;land;NULL;NULL;10788;3809;3786;643.5574567;15.53862813
522805;land;NULL;NULL;7789;3786;5537;472.2737585;21.17415973
522807;land;NULL;NULL;4545;5537;10993;278.7168691;35.87870384
522809;land;NULL;NULL;6422;7435;10993;391.8282095;25.5213886
522811;land;NULL;NULL;435;10993;317;26.83682208;372.6223608
522813;land;NULL;NULL;8430;317;7465;531.5032893;18.81455901
522815;land;NULL;NULL;15483;7465;6493;957.4459178;10.44445416
522817;land;NULL;NULL;12310;6493;1864;735.5522;13.59522818
522819;land;NULL;NULL;6223;1864;4784;361.317857;27.67646217
522821;land;NULL;NULL;9835;4784;6361;608.339456;16.43819072
522823;land;NULL;NULL;8346;6361;10994;504.8114761;19.80937533
522825;land;NULL;NULL;4901;10994;8139;301.6925165;33.14633096
522827;land;NULL;NULL;7020;8139;8654;410.2003584;24.37833072
522829;land;NULL;NULL;7270;8654;8883;455.7762949;21.94058821
522831;land;NULL;NULL;11947;8883;3696;707.822347;14.12783877
522833;land;NULL;NULL;5447;3696;4714;339.5406712;29.45155278
522835;land;NULL;NULL;3542;4714;11003;220.2792651;45.39691919
522837;land;NULL;NULL;2843;11003;1729;175.1295566;57.10058424
522839;land;NULL;NULL;9175;1729;221;554.3528827;18.03905114
522841;land;NULL;NULL;2666;221;4782;159.0315262;62.88061393
522843;land;NULL;NULL;3374;4782;5529;204.4107284;48.92111132
522845;land;NULL;NULL;4633;5529;4238;279.0514795;35.83568171
522847;land;NULL;NULL;8290;4238;5308;499.797227;20.00811421
522849;land;NULL;NULL;9187;5308;1800;555.4711711;18.00273447
522851;land;NULL;NULL;1567;1800;11002;96.23566072;103.9115846
522853;land;NULL;NULL;3136;11002;2741;190.5833937;52.47046872
522855;land;NULL;NULL;22599;4955;2808;1379.812667;7.247360632
522857;land;NULL;NULL;545;2808;10998;36.7546179;272.0746554
522859;land;NULL;NULL;7767;10998;4141;471.9029135;21.19079945
522861;land;NULL;NULL;11908;4141;10995;709.4477336;14.09547106
522863;land;NULL;NULL;5931;10995;3910;369.3192713;27.0768432
522865;land;NULL;NULL;9253;3910;10998;562.3294743;17.78316887
522867;land;NULL;NULL;782;10995;7625;43.33188026;230.7769693
522869;land;NULL;NULL;369;7625;10996;22.23718366;449.6972348
522871;land;NULL;NULL;5918;10996;8321;355.1104278;28.16025443
522873;land;NULL;NULL;4124;8321;893;268.7847479;37.20449199
522875;land;NULL;NULL;3504;893;5226;215.2456255;46.4585516
522877;land;NULL;NULL;9219;5226;10994;550.7208548;18.15801946
522879;land;NULL;NULL;7265;10996;10999;450.4640512;22.19932972
522881;land;NULL;NULL;294;10999;2664;16.90509788;591.5375393
522883;land;NULL;NULL;3257;10999;8795;197.5594452;50.61767607
522885;land;NULL;NULL;4531;8795;7924;276.7557137;36.13294868
522887;land;NULL;NULL;7036;7924;7144;429.2083987;23.29870532
522889;land;NULL;NULL;8564;7144;2147;511.9289423;19.53396101
522891;land;NULL;NULL;5269;2147;341;318.4918535;31.39797735
522893;land;NULL;NULL;5219;341;7143;316.0147326;31.6440943
522895;land;NULL;NULL;2591;7143;84;156.7879707;63.78040329
522897;land;NULL;NULL;5420;84;7899;324.4856332;30.81800541
522899;land;NULL;NULL;5665;7899;5271;344.4983409;29.02771599
522901;land;NULL;NULL;3631;5271;1827;216.8013575;46.12517244
522903;land;NULL;NULL;3443;1827;8401;205.0572056;48.76687932
522905;land;NULL;NULL;3747;8401;8476;223.5286191;44.73700074
522907;land;NULL;NULL;3130;8476;4368;186.7693584;53.5419733
522909;land;NULL;NULL;10091;4368;4458;616.1444166;16.22996124
522911;land;NULL;NULL;5309;4458;4783;315.9517701;31.6504003
522913;land;NULL;NULL;4707;2741;6178;282.2750673;35.42643739
522915;land;NULL;NULL;6728;11002;11000;405.191742;24.67967376
522917;land;NULL;NULL;5552;11000;8451;335.7372733;29.78519454
522919;land;NULL;NULL;5140;8451;4783;312.497498;32.00025621
522921;land;NULL;NULL;713;11000;4252;43.41956601;230.3109155
522923;land;NULL;NULL;6257;4252;7100;375.9819628;26.59702057
522925;land;NULL;NULL;4165;6178;7979;248.1226019;40.30265652
522927;land;NULL;NULL;4091;7979;1133;244.9216669;40.82938078
522929;land;NULL;NULL;1039;7100;11001;61.87764476;161.6092538
522931;land;NULL;NULL;323;11001;3057;19.33149515;517.2905626
522933;land;NULL;NULL;2412;11001;1133;143.4581483;69.70674108
522935;land;NULL;NULL;4785;1133;2058;284.9916008;35.0887534
522937;land;NULL;NULL;8021;2058;5492;485.3989813;20.60160895
522939;land;NULL;NULL;5673;5492;1068;341.1033626;29.31662686
